"Name","Type","Path"
"Change mouse settings","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{4DE175B5-44AB-4397-9E01-38E9DE4F0FB1}"
"Change how the mouse pointer looks","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{53440D79-CD2D-4013-B192-D478AE882E53}"
"Change how the mouse pointer looks when it's moving","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{0DF721FA-F921-4416-A491-1924F212C705}"
"Change mouse click settings","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{F14A9477-D4A5-4AEE-AF28-8F750F1B85FA}"
"Change mouse wheel settings","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{7613CE69-E922-4432-980F-136A1A26C487}"
"Change the mouse pointer display or speed","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{6AE88B06-50B2-46B0-93EA-4B5C73D3A0B5}"
"Customize the mouse buttons","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{7EB05C8F-39D3-4E6F-9B4F-23B31D6F79AD}"
"Make it easier to see the mouse pointer","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{265DF4DF-E185-4C09-9BA9-710521133A43}"
"Set up dialing rules","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{3A100872-EC27-46A5-BBCC-92C90635AE3B}"
"Change power-saving settings","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{7A38E74B-40E2-483F-B353-E6E391E54052}"
"Change what the power buttons do","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{E5907A23-4A25-4D75-A16E-16822E2FA38B}"
"Change when the computer sleeps","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{80A74F0F-B6B6-4314-93AF-98AFDF82A92E}"
"Choose when to turn off display","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{17266CB8-4A4F-49D1-B8AF-2316935D4768}"
"Choose a power plan","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{8BB27EC5-5CB3-4781-BAEE-3439DF4806E4}"
"Edit power plan","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{F56FBB39-E6D9-4B6D-9C29-AE82CFF2925F}"
"Change screen saver","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{DF7B19EF-DEA5-47D7-BBA5-9FCBE400A59D}"
"Turn screen saver on or off","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{EFACECBA-BCCD-468B-BAB3-7CA40A898982}"
"Change date, time, or number formats","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{7B083C74-CBA5-4A73-B235-8A5A71A1AE30}"
"Change the way currency is displayed","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{71D0780F-10D2-459C-983B-94A642161220}"
"Change the way dates and lists are displayed","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{50DF4F13-4188-49C3-B2FB-A76404DC0ACF}"
"Change the way measurements are displayed","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{1A5712E4-AAD7-4717-B22A-CF0B8438E2E6}"
"Change the way time is displayed","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{AF43E35C-47E7-4CD6-9D98-1319CA58AB0F}"
"Change how Windows searches","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{D4690CFE-6A59-4BAB-BFF7-9ED0D083E798}"
"View recent messages about your computer","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{950FD00B-C4A9-4465-852A-B1EB51E2E7F6}"
"Review your computer's status and resolve issues","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{FEBB9292-6110-4B9E-8565-91C4076E0A43}"
"Change User Account Control settings","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{638F8E21-E157-40D7-97E0-A0C8E4C4E2B5}"
"View reliability history","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{90AB71CE-BAB6-4CA2-84FE-629338405756}"
"Fix problems with your computer","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{36FB1658-3A23-4D62-9BFD-37F4B18A85E9}"
"View recommended actions to keep Windows running smoothly","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{0E1D43A6-F261-491C-84EA-8BFCC6A4B70B}"
"Check security status","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{1A4635EC-181D-45AE-B691-BC75BEC02756}"
"View all problem reports","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{FEFF8F5D-EB40-485D-AC2A-EB7942DDF624}"
"Change Automatic Maintenance settings","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{FADA4BFB-4853-4547-B70F-1B565E7D907B}"
"Adjust system volume","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{37E2F32E-C821-4094-B429-2B4E8EA810AA}"
"Change sound card settings","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{96DF8B78-8299-4BC1-B56B-6C375FBEC228}"
"Change system sounds","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{0CDC534D-A9FF-450D-91D8-96C341ED44AA}"
"Manage audio devices","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{5D611F64-7985-459B-BDFF-AEC069CB2625}"
"Manage offline files","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{030C20F0-E20B-417A-B7AD-CEC6EE955CD3}"
"Adjust the appearance and performance of Windows","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{6A10BC7B-2586-4B57-A5AA-C14BDE743DC4}"
"Allow remote access to your computer","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{728047C0-00D2-4FDB-A069-06338B92E93B}"
"Allow Remote Assistance invitations to be sent from this computer","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{33F1F9B5-BD94-4D77-96AE-62F10E4A010A}"
"Invite someone to connect to your PC and help you, or offer to help someone else","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{D652F9E4-08FD-4A24-8EAC-05715188233E}"
"Change workgroup name","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{B935C3B6-969C-4FC2-B96C-7F06794471AF}"
"Check processor speed","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{87454AD9-0669-4C0B-8DFE-D1FD83EDD787}"
"Configure advanced user profile properties","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{059ECE57-19D1-4112-B05C-86F8ED5DA6B0}"
"Create a restore point","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{DD338333-7000-45CC-A84D-64680D6E683D}"
"Edit environment variables for your account","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{37092408-D49C-451D-B56D-78B243DC475C}"
"Edit the system environment variables","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{E2394C16-F45A-496F-83CC-49E163281662}"
